Metric,,,Balanced accuracy,Balanced accuracy,Balanced accuracy,Balanced accuracy,Balanced accuracy,Balanced accuracy,ROC AUC,ROC AUC,ROC AUC,ROC AUC,ROC AUC,ROC AUC,Sensitivity,Sensitivity,Sensitivity,Sensitivity,Sensitivity,Sensitivity,Specificity,Specificity,Specificity,Specificity,Specificity,Specificity
Statistic,,,Observed,2.5%,97.5%,8.5%,91.5%,Significance,Observed,2.5%,97.5%,8.5%,91.5%,Significance,Observed,2.5%,97.5%,8.5%,91.5%,Significance,Observed,2.5%,97.5%,8.5%,91.5%,Significance
Strain task,Learning architecture,Strain task grouping,,,,,,,,,,,,,,,,,,,,,,,,
TA102,gMT,"TA100, TA100+S9, TA102, TA102+S9, TA104, TA104+S9, TA1535, TA1535+S9",0.8752380952380951,0.7704761904761905,0.96,0.8059880952380952,0.94,*,0.9523809523809523,0.9038095238095238,0.9876190476190476,0.920952380952381,0.979047619047619,**,0.8571428571428571,0.6428571428571429,1.0,0.7142857142857143,1.0,*,0.8933333333333333,0.8263333333333336,0.96,0.84,0.9466666666666667,NS
TA102,gMT,"TA100, TA102, TA104, TA1535, TA1537, TA1538, TA97, TA98",0.8261904761904761,0.7057142857142857,0.930952380952381,0.7480952380952381,0.9042857142857144,NS,0.9219047619047618,0.8551666666666667,0.9762142857142858,0.8752380952380953,0.9619047619047619,*,0.7857142857142857,0.5714285714285714,1.0,0.6428571428571429,0.9285714285714286,*,0.8666666666666667,0.7866666666666666,0.9333333333333333,0.8133333333333334,0.92,NS
TA102+S9,ST,TA102+S9,0.5483091787439613,0.4782608695652174,0.6666666666666666,0.4855072463768116,0.6111111111111112,-,0.6843800322061192,0.4991143317230274,0.8599436392914653,0.5507246376811594,0.8083735909822867,-,0.1111111111111111,0.0,0.3333333333333333,0.0,0.2222222222222222,-,0.9855072463768116,0.9565217391304348,1.0,0.9710144927536232,1.0,-
TA102+S9,uMT,"TA100, TA100+S9, TA102, TA102+S9, TA104, TA104+S9, TA1535, TA1535+S9, TA1537, TA1537+S9, TA1538, TA1538+S9, TA97, TA97+S9, TA98, TA98+S9",0.6714975845410628,0.5120772946859903,0.8383454106280191,0.5603864734299517,0.7898550724637681,NS,0.932367149758454,0.8695652173913043,0.9807165861513687,0.8872785829307569,0.9710144927536232,**,0.4444444444444444,0.1111111111111111,0.7777777777777778,0.2222222222222222,0.6666666666666666,NS,0.8985507246376812,0.8260869565217391,0.9710144927536232,0.855072463768116,0.9565217391304348,NS
TA102+S9,gMT,"TA100+S9, TA102+S9, TA104+S9, TA1535+S9, TA1537+S9, TA1538+S9, TA97+S9, TA98+S9",0.8599033816425121,0.7004830917874396,0.9855072463768115,0.7560386473429952,0.963768115942029,**,0.9194847020933976,0.774476650563607,0.9967793880837359,0.8293075684380032,0.9919484702093397,*,0.7777777777777778,0.4444444444444444,1.0,0.5555555555555556,1.0,**,0.9420289855072463,0.8840579710144928,0.9855072463768116,0.8985507246376812,0.9855072463768116,NS
TA102+S9,gMT,"TA100, TA100+S9, TA102, TA102+S9, TA104, TA104+S9, TA1535, TA1535+S9",0.8454106280193237,0.6979468599033818,0.9710144927536232,0.7415458937198067,0.9420289855072463,**,0.9484702093397746,0.8937198067632851,0.988768115942029,0.9130434782608695,0.9790660225442834,**,0.7777777777777778,0.4444444444444444,1.0,0.5555555555555556,1.0,**,0.9130434782608695,0.8405797101449275,0.9710144927536232,0.8695652173913043,0.9565217391304348,NS
TA102+S9,gMT,"TA100+S9, TA102+S9, TA104+S9, TA1535+S9",0.7705314009661837,0.6111111111111112,0.9371980676328502,0.6594202898550725,0.8816425120772947,*,0.9371980676328502,0.8502415458937198,1.0,0.8855314009661835,0.9871175523349437,*,0.5555555555555556,0.2222222222222222,0.8888888888888888,0.3333333333333333,0.7777777777777778,*,0.9855072463768116,0.9565217391304348,1.0,0.9710144927536232,1.0,NS
TA104,ST,TA104,0.7916666666666666,0.6180555555555556,0.9444444444444444,0.6736111111111112,0.9236111111111112,-,0.8379629629629629,0.6434027777777779,0.9907407407407407,0.7037037037037037,0.9583333333333333,-,0.6666666666666666,0.3333333333333333,1.0,0.4444444444444444,0.8888888888888888,-,0.9166666666666666,0.7916666666666666,1.0,0.8333333333333334,1.0,-
TA104,uMT,"TA100, TA100+S9, TA102, TA102+S9, TA104, TA104+S9, TA1535, TA1535+S9, TA1537, TA1537+S9, TA1538, TA1538+S9, TA97, TA97+S9, TA98, TA98+S9",0.7569444444444444,0.6111111111111112,0.9236111111111112,0.6458333333333334,0.8680555555555556,NS,0.875,0.7267361111111111,0.9861111111111112,0.7824074074074073,0.9675925925925926,NS,0.5555555555555556,0.3333333333333333,0.8888888888888888,0.3333333333333333,0.7777777777777778,NS,0.9583333333333334,0.875,1.0,0.9166666666666666,1.0,NS
TA104,gMT,"TA100, TA102, TA104, TA1535",0.7916666666666666,0.6248263888888891,0.9444444444444444,0.6805555555555556,0.9027777777777777,NS,0.7777777777777777,0.5393518518518519,0.9699074074074074,0.6157407407407408,0.9170601851851854,NS,0.6666666666666666,0.3333333333333333,0.8888888888888888,0.4444444444444444,0.8888888888888888,NS,0.9166666666666666,0.7916666666666666,1.0,0.8333333333333334,1.0,NS
